#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
113,Troy Sav,MANI,19,18.2,7.6,3.0,5.5,.548,0.8,1.5,.517,0.8,1.4,.556,1.1,4.1,5.1,0.7,0.4,0.7,1.5,2.5,2023
114,Goksenin Koksal,GAL,31,24.9,7.4,2.6,6.5,.406,1.7,4.4,.393,0.4,0.5,.733,1.2,2.0,3.2,1.5,0.7,0.0,0.8,1.5,2023
115,Erkan Yilmaz,TUR,37,22.9,7.4,2.7,6.0,.446,1.0,3.1,.328,1.0,1.3,.750,1.4,3.8,5.3,2.7,1.0,0.7,1.5,2.4,2023
116,Tomasz Gielo,MERK,20,24.0,7.4,2.7,6.4,.422,1.3,3.5,.362,0.7,0.9,.824,1.0,2.0,3.0,1.1,0.3,0.2,1.0,1.6,2023
117,Yigitcan Saybir,BURS,31,21.8,7.2,2.9,6.2,.476,0.3,1.6,.204,1.0,1.8,.571,1.8,1.7,3.6,1.0,1.2,0.2,1.0,2.3,2023
118,Maxim Mutaf,DEM,26,18.2,7.2,2.4,6.3,.387,1.4,4.0,.356,0.9,1.1,.793,0.5,1.5,2.0,1.2,0.6,0.1,0.7,2.4,2023
119,Sehmus Hazer,FEN,29,15.3,7.0,2.3,5.6,.414,0.7,2.4,.300,1.7,2.6,.653,0.5,1.7,2.2,1.9,0.7,0.0,1.6,1.6,2023
120,Ayberk Olmaz,MERK,30,23.2,7.0,2.6,5.9,.438,1.0,3.2,.323,0.7,1.0,.759,1.2,3.6,4.8,0.8,0.5,0.7,0.8,2.2,2023
121,Egemen Guven,BES,18,15.7,6.6,2.8,4.8,.581,0.5,0.8,.600,0.6,0.9,.625,1.3,2.5,3.8,0.6,0.4,0.3,0.4,1.3,2023
122,Melih Mahmutoglu,FEN,36,14.4,6.6,2.3,5.2,.431,1.6,3.9,.418,0.4,0.4,1.000,0.1,0.8,0.9,0.5,0.2,0.0,0.3,0.9,2023
123,Bugrahan Tuncer,EFE,31,15.0,6.5,2.4,5.3,.454,1.2,2.7,.447,0.5,0.6,.944,0.4,1.6,2.0,2.6,0.4,0.1,1.2,1.3,2023
124,James Birsen,FEN,22,22.2,6.5,2.3,5.1,.446,1.1,2.9,.397,0.8,1.4,.548,1.3,3.6,4.9,1.1,1.0,0.1,0.8,1.6,2023
125,Sinan Saglam,TOR,13,23.3,6.1,2.8,5.2,.529,0.4,1.6,.238,0.2,0.5,.286,2.0,2.5,4.5,1.2,1.0,0.7,0.9,3.8,2023
126,Matt Mooney,DBI,11,16.6,5.9,2.1,5.1,.411,1.3,3.5,.359,0.5,0.5,.833,0.3,1.9,2.2,2.2,0.6,0.0,1.3,2.4,2023
127,Devin Booker,FEN,12,20.9,5.8,2.4,4.9,.492,0.5,1.6,.316,0.5,0.8,.667,1.8,3.0,4.8,1.5,0.7,0.6,1.0,2.5,2023
