#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
101,Othello Hunter,RMB,39,17.0,6.2,2.6,4.5,.592,0.0,0.2,.167,0.9,1.2,.739,1.6,2.4,3.9,0.6,0.8,0.3,0.8,2.2,2017
102,Marius Grigonis,TEN,30,19.6,6.2,1.9,4.9,.385,1.0,2.7,.363,1.4,1.6,.857,0.4,1.0,1.4,2.0,0.5,0.1,1.7,2.3,2017
103,David Wear,MON,30,16.4,6.2,2.3,5.0,.463,1.1,2.6,.442,0.4,0.7,.619,0.6,1.7,2.4,0.2,0.3,0.0,0.4,2.0,2017
104,Strahinja Milosevic,BETIS,32,19.6,6.1,2.3,5.3,.438,0.5,1.7,.315,1.0,1.5,.660,1.3,1.7,3.0,0.8,0.6,0.2,1.8,3.0,2017
105,Ludde Hakanson,MON,32,23.5,6.1,2.3,6.7,.336,0.9,3.3,.271,0.7,0.8,.920,0.4,1.3,1.8,3.2,0.8,0.1,1.8,1.7,2017
106,David Navarro,AND,35,19.4,6.0,2.2,4.8,.456,0.3,1.2,.286,1.3,1.7,.746,0.4,1.7,2.1,1.8,0.7,0.0,0.9,1.7,2017
107,Romain Sato,VAL,41,16.2,5.9,2.1,5.0,.420,0.8,2.1,.368,0.8,1.0,.850,0.6,2.0,2.6,0.4,0.5,0.1,0.5,1.9,2017
108,Nacho Llovet,OBR,27,17.7,5.8,2.1,3.9,.552,0.2,0.7,.250,1.3,2.0,.679,1.3,1.9,3.2,0.7,0.4,0.1,1.0,2.1,2017
109,Omar Cook,EST,32,25.3,5.8,1.8,5.3,.331,1.4,4.2,.333,0.9,1.3,.683,0.3,1.5,1.8,4.7,1.5,0.0,1.8,2.4,2017
110,Albert Ventura,JOV,31,18.3,5.7,1.9,5.0,.383,0.7,2.5,.282,1.2,1.5,.750,0.8,1.5,2.3,1.3,0.9,0.1,1.0,2.4,2017
111,Marcos Delia,MUR,32,19.5,5.7,2.3,3.8,.602,0.0,0.0,.000,1.0,1.6,.635,1.2,2.1,3.3,0.6,0.6,0.3,0.9,2.2,2017
112,Daniel Diez,UNI,38,18.5,5.6,2.0,4.8,.420,0.7,2.3,.303,0.9,1.2,.761,1.5,2.3,3.8,0.5,0.4,0.0,0.4,0.8,2017
113,Sadiel Rojas,MUR,32,21.3,5.5,1.8,4.1,.450,1.0,2.4,.434,0.8,1.0,.839,1.7,3.7,5.4,0.6,0.7,0.2,0.8,3.0,2017
