#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
149,Corey Walden,BAY,17,19.3,6.6,1.9,5.2,.360,0.9,3.3,.286,1.9,2.1,.917,0.5,1.8,2.2,2.8,1.2,0.2,1.4,3.2,2022
150,Behnam Yakhchalidehkordi,BC,31,19.2,6.6,2.2,5.5,.400,0.8,2.9,.292,1.4,1.9,.759,0.5,1.5,2.0,1.4,0.3,0.1,1.1,2.2,2022
151,Lorenz Brenneke,FRA,26,18.9,6.5,2.6,4.3,.602,0.2,0.5,.429,1.0,1.7,.605,1.3,2.6,3.8,0.8,0.8,0.2,1.1,2.6,2022
152,Jan Wimberg,BVC,26,24.6,6.4,2.4,5.5,.431,0.9,3.3,.264,0.8,1.0,.769,1.0,3.5,4.4,1.2,0.5,0.4,1.5,2.1,2022
153,Kay Bruhnke,BAY,26,16.0,6.2,2.2,4.4,.504,0.8,2.3,.361,0.9,1.3,.706,0.6,1.8,2.4,0.6,0.4,0.4,0.8,2.3,2022
154,Christ Koumadje,BER,34,12.1,6.2,2.6,3.4,.744,0.0,0.0,.000,1.1,1.7,.638,1.8,2.8,4.5,0.3,0.1,0.9,0.7,1.6,2022
155,Ben Lammers,BER,27,15.8,6.2,2.6,4.6,.560,0.0,0.1,.000,1.0,1.3,.771,1.3,2.7,4.0,0.7,0.7,1.0,0.6,1.2,2022
156,Trevon Bluiett,HAM,12,16.3,6.2,2.4,5.4,.446,1.1,3.4,.317,0.3,0.6,.429,1.0,1.9,2.9,1.3,0.3,0.0,0.8,1.6,2022
157,Yorman Polas,LUD,38,20.8,6.2,2.2,5.7,.385,0.6,2.4,.242,1.2,1.6,.710,1.7,2.2,3.8,1.2,0.5,0.0,1.1,2.6,2022
158,Nate Grimes,GOE,15,16.5,6.1,2.6,5.1,.506,0.5,1.6,.292,0.4,0.7,.545,2.0,3.2,5.2,0.3,0.4,0.5,1.3,2.5,2022
159,Lukas Wank,FRA,33,19.1,6.1,2.1,5.2,.399,1.1,3.1,.350,0.8,1.1,.743,0.8,2.2,3.1,1.3,0.5,0.3,1.8,2.6,2022
160,Karsten Tadda,TBB,40,27.8,6.0,1.8,4.5,.404,1.3,3.4,.387,1.0,1.3,.820,0.8,1.4,2.2,2.0,0.9,0.0,1.0,2.3,2022
161,Jon Axel Gudmundsson,CRA,17,14.3,5.9,2.1,4.9,.422,0.9,2.5,.381,0.9,1.5,.577,0.4,1.6,2.0,1.5,0.4,0.0,0.9,1.8,2022
162,Alen Pjanic,EWE,28,16.3,5.8,2.0,4.0,.504,0.9,1.9,.453,0.8,1.1,.767,0.9,1.9,2.8,0.8,1.0,0.4,0.8,2.8,2022
163,Leon Radosevic,BAY,29,16.7,5.7,2.1,4.6,.451,0.8,2.1,.400,0.8,0.9,.815,0.8,2.0,2.8,1.4,0.4,0.3,0.8,1.3,2022
164,John Bryant,BC,18,13.1,5.7,1.9,3.3,.576,0.3,0.7,.500,1.6,2.0,.806,1.1,3.1,4.2,1.3,0.1,0.5,1.2,2.2,2022
165,Sean Evans,RUL,13,20.2,5.6,2.5,4.7,.541,0.0,0.0,.000,0.5,2.8,.194,2.1,3.2,5.3,1.3,0.8,0.5,1.4,2.3,2022
166,Malte Delow,BER,34,17.2,5.5,2.0,4.3,.469,0.9,2.4,.383,0.6,0.7,.826,0.9,1.6,2.5,1.4,0.8,0.2,0.7,1.9,2022
167,Ray McCallum,HAM,11,13.0,5.4,2.0,5.2,.386,0.7,2.4,.308,0.6,0.7,.875,0.7,1.1,1.8,1.8,0.7,0.1,1.1,1.2,2022
168,Mathis Moenninghoff,GOE,32,21.1,5.3,1.8,4.3,.412,1.1,2.9,.380,0.7,1.0,.742,0.9,2.1,3.0,0.8,0.4,0.1,0.6,2.4,2022
