#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,year
89,Jean-Michel Mipoka,PAU,.542,.520,156.4,5.7,12.1,9.0,6.0,13.1,0.8,1.3,21.9,-3.7,1.2,100.5,107.2,-6.7,152.1,12.2,2017
90,Tyler Harris,PLV,.496,.462,142.8,7.5,15.7,11.6,7.2,14.5,1.0,0.9,23.9,-4.6,1.1,98.1,105.0,-6.9,137.4,12.1,2017
91,Bandja Sy,LYV,.553,.525,144.2,7.6,11.4,9.6,7.7,17.6,2.1,1.0,17.5,-3.4,1.2,101.8,106.9,-5.0,147.9,12.1,2017
92,Gary Chathuant,PORT,.525,.509,159.4,5.1,10.5,7.8,7.6,11.4,1.8,1.1,16.7,-0.8,1.1,106.6,106.0,0.6,153.0,12.0,2017
93,Jeremy Nzeulie,CHA,.570,.524,152.1,2.3,10.3,6.5,12.9,18.4,1.5,0.3,17.6,-0.9,1.3,106.6,108.4,-1.9,272.8,12.0,2017
94,Sek Henry,PAU,.505,.471,149.7,5.2,3.3,4.3,16.4,12.6,1.5,0.0,20.0,0.9,1.1,108.7,111.2,-2.5,26.0,11.9,2017
95,Frank Ntilikina,STR,.532,.519,143.0,6.5,8.7,7.6,13.1,15.0,2.2,1.1,15.2,0.6,1.2,108.7,105.9,2.8,172.8,11.9,2017
96,Akeem Williams,HYT,.521,.500,139.0,4.3,10.2,7.1,13.8,15.3,1.8,0.2,18.6,-0.6,1.1,103.4,109.5,-6.0,114.3,11.9,2017
97,Nicolas Lang,LYV,.554,.507,164.7,3.4,10.6,7.2,11.5,10.5,1.1,0.2,16.4,0.8,1.2,112.4,110.2,2.2,198.1,11.7,2017
98,Max Kouguere,ANT,.556,.522,161.4,3.7,16.1,10.1,8.0,13.5,1.5,0.4,14.6,-1.0,1.2,108.7,109.1,-0.4,171.8,11.7,2017
99,Cyrille Eliezer-Vanerot,PLV,.553,.517,152.0,3.1,14.1,8.6,9.8,15.8,2.3,1.5,14.4,-0.8,1.3,108.4,103.2,5.2,122.8,11.3,2017
100,Maurice Acker,HYT,.516,.493,146.8,1.3,7.0,4.0,21.3,16.1,1.0,0.0,21.2,0.9,1.1,102.3,112.9,-10.6,108.5,11.3,2017
101,Nikola Dragovic,LYV,.520,.496,144.1,2.9,17.9,10.8,8.3,11.6,1.3,1.3,17.9,-1.0,1.1,100.6,106.5,-5.9,168.0,11.3,2017
102,Ryan Brooks,DIJ,.494,.460,154.9,1.8,12.6,7.0,11.2,12.1,2.0,0.5,19.1,-0.3,1.1,96.6,110.3,-13.8,192.4,11.1,2017
103,Pape-Philippe Amagou,LEM,.553,.513,155.8,0.3,3.9,2.1,21.0,15.6,0.7,0.0,18.0,2.3,1.3,108.2,117.7,-9.5,107.8,10.8,2017
104,Jessie Begarin,PORT,.525,.503,135.8,4.2,9.5,6.9,11.5,16.4,2.4,0.3,15.5,-0.5,1.2,103.2,105.2,-2.1,123.4,10.8,2017
105,Benoit Mangin,PORT,.547,.516,157.6,1.3,11.3,6.3,26.8,25.5,1.1,0.0,15.9,2.9,1.2,102.9,108.3,-5.5,194.0,10.7,2017
106,David Michineau,HYT,.470,.422,134.5,2.7,9.9,6.1,23.4,18.2,1.2,0.1,26.4,-1.6,1.1,93.1,111.3,-18.3,123.3,10.6,2017
107,Pape Sy,STR,.543,.477,140.3,5.0,21.7,13.4,6.6,18.3,1.3,0.6,14.1,-2.5,1.4,102.8,105.0,-2.2,136.4,10.0,2017
108,Isaia Cordinier,ANT,.461,.404,128.7,3.1,11.7,7.5,15.2,15.2,1.6,0.3,18.2,0.1,1.1,95.4,111.9,-16.5,103.8,9.1,2017
109,Miha Vasl,RCB,.488,.451,152.2,2.3,9.8,6.0,14.2,17.4,2.3,0.2,18.3,-0.4,1.1,93.0,116.3,-23.2,87.1,9.1,2017
110,Benjamin Sene,NAN,.460,.446,126.1,1.7,11.4,6.4,22.9,19.3,1.7,0.1,18.1,1.5,1.0,91.8,114.8,-23.0,133.8,8.9,2017
111,Maleye N'Doyle,PLV,.464,.447,132.5,3.0,10.8,6.9,8.2,9.1,1.8,0.7,14.1,0.7,1.0,102.8,105.2,-2.3,93.9,8.7,2017
112,Marc Marius Judith,DIJ,.511,.504,122.9,2.8,11.0,6.6,7.1,11.0,1.8,0.4,12.3,0.2,1.1,101.5,111.2,-9.7,83.8,8.4,2017
