#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
180,Timothe Crusol,CSP,23,10.0,1.6,0.5,1.4,.375,0.2,0.8,.222,0.4,0.5,.818,0.0,0.5,0.6,0.8,0.5,0.0,0.7,1.7,2020
181,Matthieu Gauzin,LEM,15,7.3,1.5,0.5,1.5,.304,0.1,0.6,.222,0.4,0.5,.750,0.1,0.3,0.3,0.5,0.1,0.0,0.7,1.5,2020
182,Frejus Zerbo,JLB,22,6.8,1.5,0.5,1.3,.429,0.0,0.0,1.000,0.3,0.5,.700,0.2,0.9,1.1,0.3,0.2,0.0,0.4,1.5,2020
183,Karlton Dimanche,CHO,20,7.1,1.5,0.6,0.9,.611,0.0,0.1,.000,0.4,0.8,.467,0.4,0.4,0.8,0.4,0.3,0.1,0.6,0.9,2020
184,Hugo Besson,CHA,12,6.3,1.4,0.5,1.5,.333,0.2,0.9,.182,0.3,0.3,.750,0.0,0.6,0.6,0.7,0.0,0.0,0.4,1.0,2020
185,Jean-Marc Pansa,N92,15,5.4,1.3,0.7,1.2,.556,0.0,0.0,.000,0.0,0.1,.000,0.5,0.5,1.1,0.1,0.1,0.2,0.4,0.9,2020
186,Johan Randriamananjara,JLB,16,4.6,1.3,0.4,0.9,.400,0.3,0.7,.455,0.3,0.4,.667,0.1,0.3,0.3,0.3,0.1,0.0,0.1,0.4,2020
187,Babacar Niasse,CHA,14,5.4,1.2,0.5,1.4,.368,0.2,0.9,.231,0.0,0.0,.000,0.1,0.3,0.4,0.2,0.1,0.1,0.1,0.7,2020
188,Neal Sako,PLV,13,5.6,1.0,0.3,0.6,.500,0.0,0.0,.000,0.4,0.8,.500,0.5,0.8,1.2,0.1,0.1,0.0,0.2,1.2,2020
1,Danilo Andjusic,JLB,31,30.4,20.0,6.0,13.6,.443,2.8,6.9,.409,5.1,5.7,.882,0.4,2.4,2.8,3.2,0.9,0.4,2.8,2.2,2021
2,"Bonzie Colson, Jr.",STR,35,29.2,18.1,6.6,12.7,.521,1.4,4.2,.342,3.4,4.1,.839,1.4,3.7,5.1,2.0,1.2,0.6,1.9,2.3,2021
3,Brandon Jefferson,STR,23,29.9,17.0,5.0,10.5,.475,3.6,7.4,.482,3.1,3.4,.923,0.3,1.7,2.1,3.3,0.9,0.0,2.0,2.3,2021
4,Justin Wright-Foreman,ROA,12,30.9,16.9,5.3,12.2,.438,2.9,7.8,.376,3.3,4.2,.800,0.3,1.8,2.1,3.7,0.4,0.3,2.3,2.2,2021
5,Sean Armand,CHA,28,30.2,16.8,5.7,11.6,.488,2.3,5.0,.453,3.2,3.6,.873,0.9,2.5,3.4,4.6,1.0,0.1,3.4,2.7,2021
6,Darius Johnson-Odom,ORL,13,30.6,16.4,5.2,10.5,.489,1.5,4.2,.370,4.5,6.0,.756,0.5,2.7,3.2,4.8,0.6,0.0,2.8,2.6,2021
7,Ovie Soko,LEM,19,26.0,15.9,5.4,10.8,.502,0.7,1.9,.351,4.4,5.7,.778,1.8,4.4,6.3,3.0,1.3,0.3,2.4,2.8,2021
8,Nicolas Lang,CSP,30,29.0,15.8,4.8,9.2,.520,3.2,6.6,.485,3.1,3.2,.948,0.3,1.8,2.2,2.7,0.7,0.1,1.0,2.5,2021
9,Scott Bamforth,LEM,26,28.0,15.5,5.1,10.1,.502,2.4,5.7,.423,3.0,3.1,.951,0.3,2.5,2.8,3.8,0.8,0.2,2.3,2.6,2021
10,Briante Weber,GRV,19,27.6,15.4,5.9,11.0,.541,0.5,1.1,.429,3.0,3.7,.814,0.7,2.9,3.6,4.8,2.0,0.1,2.7,2.4,2021
11,Marcquise Reed,N92,26,25.5,14.7,5.0,10.2,.491,1.2,3.1,.395,3.5,3.9,.891,0.6,3.4,4.0,2.3,2.3,0.2,1.4,2.6,2021
12,Sylvain Francisco,ROA,32,30.3,14.7,4.9,11.6,.425,1.7,6.1,.284,3.1,4.4,.707,0.8,2.1,2.9,4.7,1.9,0.3,2.1,1.7,2021
13,Paris Lee,ORL,34,31.5,14.6,4.4,10.1,.442,2.2,5.4,.408,3.5,4.0,.861,0.3,2.3,2.6,7.7,2.0,0.1,2.9,1.7,2021
14,David Holston,DIJ,36,29.6,14.5,4.7,9.9,.476,2.4,5.6,.421,2.7,3.1,.883,0.4,2.1,2.5,6.2,1.6,0.1,2.6,2.5,2021
15,Travis Leslie,RCB,28,30.7,14.5,5.7,12.1,.470,2.1,5.4,.388,1.0,1.3,.757,1.4,3.1,4.5,2.3,1.4,0.1,1.2,2.1,2021
16,Petr Cornelie,PAU,34,28.8,14.4,5.2,9.6,.540,1.2,2.8,.442,2.8,3.8,.738,2.4,5.5,7.9,1.5,0.7,0.4,2.0,3.1,2021
17,Thomas Heurtel,LYV,23,24.7,14.4,4.9,9.8,.502,1.7,4.3,.404,2.8,3.1,.903,0.0,2.7,2.7,6.2,1.0,0.1,2.7,2.0,2021
18,Justin Bibbins,PAU,21,26.4,14.2,4.6,10.0,.462,1.7,4.6,.361,3.3,4.0,.833,0.4,1.5,1.9,4.6,1.2,0.3,2.1,2.6,2021
19,Guerschon Yabusele,LYV,22,22.6,14.1,5.0,8.3,.610,1.9,3.7,.519,2.1,3.0,.697,0.9,3.2,4.0,1.3,0.9,0.4,2.0,1.7,2021
20,Brock Motum,N92,12,24.8,14.0,5.4,8.8,.619,1.7,3.3,.513,1.5,1.7,.900,0.5,3.4,3.9,1.5,0.4,0.2,1.6,2.4,2021
21,Mouphtaou Yarou,BBD,31,28.5,13.9,5.4,9.2,.580,0.3,0.8,.400,2.9,3.7,.783,3.2,5.1,8.3,1.3,0.5,0.1,1.4,2.2,2021
22,Erik McCree,GRV,11,31.2,13.8,4.5,9.8,.454,1.8,4.6,.392,3.1,4.1,.756,0.8,5.9,6.7,3.4,1.0,0.3,2.7,2.1,2021
23,Chima Moneke,ORL,31,23.4,13.7,5.1,8.1,.628,0.4,1.2,.333,3.2,4.1,.781,1.7,4.7,6.5,1.5,1.0,0.4,1.7,2.3,2021
24,"Ronald March, Jr.",ROA,19,26.4,13.7,4.8,11.3,.425,1.8,4.9,.376,2.3,4.2,.544,1.4,2.3,3.7,2.5,1.5,0.6,1.9,2.3,2021
25,Jerry Boutsiele,CSP,27,26.2,13.6,5.4,9.2,.589,0.1,0.4,.364,2.7,4.5,.595,2.3,4.7,6.9,1.4,0.1,0.7,2.0,2.0,2021
26,Vee Sanford,PAU,28,28.1,13.6,5.5,10.8,.515,1.4,3.4,.417,1.1,1.5,.756,0.7,2.6,3.3,2.5,1.6,0.1,2.4,2.6,2021
27,John Flowers,BBD,30,27.6,13.5,4.4,11.0,.404,2.0,6.5,.314,2.6,3.8,.687,0.4,3.2,3.6,1.1,0.9,0.4,1.1,2.4,2021
28,Lasan Kromah,CHO,32,26.7,13.5,4.9,10.8,.452,1.6,4.1,.382,2.2,3.1,.714,0.4,2.3,2.7,1.9,1.5,0.1,1.7,2.3,2021
29,Corey Davis,GRV,23,31.0,13.5,5.0,11.3,.438,2.0,5.6,.352,1.6,2.2,.740,0.7,1.7,2.4,3.0,1.0,0.0,2.1,2.0,2021
30,Rob Gray,ASM,29,21.5,13.4,4.3,9.7,.446,1.9,5.0,.384,2.8,3.2,.891,0.5,1.8,2.3,1.3,0.7,0.2,1.9,2.2,2021
31,Ian Miller,CHO,17,24.7,13.4,4.6,11.9,.386,2.2,6.6,.330,2.0,2.2,.895,0.6,1.4,2.0,2.5,0.9,0.0,2.4,2.5,2021
32,Allerik Freeman,LYV,7,21.3,13.3,4.7,9.4,.500,2.4,5.1,.472,1.4,2.0,.714,0.3,2.6,2.9,1.6,0.6,0.0,1.3,1.3,2021
33,Myles Hesson,CHA,34,24.4,13.2,4.2,10.1,.421,1.2,3.6,.336,3.5,4.4,.795,1.3,3.1,4.4,1.6,1.0,0.7,2.3,2.9,2021
34,Michael Stockton,CHO,34,33.7,13.0,4.8,9.4,.506,1.2,3.1,.394,2.2,2.9,.784,0.8,2.5,3.3,7.2,1.4,0.1,2.1,2.9,2021
35,Jordon Crawford,CHA,24,31.0,13.0,4.4,9.8,.449,1.5,3.7,.420,2.7,3.4,.790,0.4,2.4,2.8,6.2,1.8,0.0,3.2,2.0,2021
36,Gregor Hrovat,CHO,33,31.0,12.9,4.3,8.9,.480,1.6,4.5,.354,2.8,3.4,.838,1.0,2.6,3.6,3.2,1.7,0.2,1.9,2.5,2021
37,Gavin Ware,GRV,26,22.7,12.8,5.5,8.8,.627,0.0,0.0,.000,1.8,2.6,.716,2.0,4.1,6.0,1.5,0.4,0.3,1.9,3.0,2021
38,Chris Warren,N92,34,26.9,12.8,4.6,9.0,.508,1.8,4.1,.426,1.9,2.1,.900,0.2,1.3,1.5,3.0,0.6,0.1,1.6,2.1,2021
39,Joshiko Saibou,RCB,23,24.9,12.8,4.4,9.1,.481,1.3,3.1,.431,2.7,3.4,.772,1.4,1.8,3.3,2.4,1.4,0.1,2.5,2.4,2021
40,Luke Fischer,ORL,32,23.3,12.5,5.4,8.8,.613,0.3,0.7,.429,1.4,2.5,.582,1.8,3.9,5.7,1.4,0.6,0.7,1.4,2.1,2021
41,Juvonte Reddic,ROA,23,27.3,12.3,4.8,8.4,.570,0.0,0.1,.500,2.7,3.7,.733,1.5,3.6,5.1,1.0,1.4,0.5,2.3,2.8,2021
