#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
9,Jameel Warney,TEX,42,35.2,19.9,8.7,16.4,.529,0.5,1.8,.286,2.0,3.1,.654,3.5,6.1,9.6,2.9,1.2,1.1,1.9,2.9,2018
10,Georges Niang,SLC,41,33.9,19.7,7.9,13.7,.572,2.2,4.8,.462,1.8,2.1,.871,1.2,5.5,6.7,4.2,1.0,0.4,3.0,3.2,2018
11,Thomas Bryant,SBL,37,30.8,19.7,7.7,12.9,.597,1.8,5.0,.364,2.5,3.7,.674,1.9,5.4,7.3,2.1,0.6,1.5,1.6,2.2,2018
12,Jamel Artis,LAK,46,37.6,19.5,7.4,15.9,.463,1.9,5.6,.348,2.8,3.5,.790,1.4,4.4,5.8,2.4,1.3,0.4,2.3,2.5,2018
13,Josh Gray,NAS,45,34.1,19.4,7.2,15.8,.454,2.7,6.6,.410,2.3,3.0,.759,1.1,3.7,4.8,6.4,2.3,0.1,2.9,1.8,2018
14,Anthony Brown,IWA,45,37.7,18.9,7.1,15.4,.460,2.2,5.4,.404,2.5,3.2,.797,0.5,4.3,4.8,3.6,0.7,0.3,2.8,2.1,2018
15,Marcus Thornton,CLE,49,36.1,18.8,6.8,16.2,.418,3.4,8.7,.391,1.8,2.3,.774,0.2,2.7,2.9,3.4,0.7,0.1,2.2,1.9,2018
16,Lorenzo Brown,RAP,32,33.2,18.8,7.3,15.6,.468,1.1,3.3,.330,3.1,3.9,.792,0.5,4.7,5.2,8.8,1.8,0.2,3.7,2.1,2018
17,Aaron Harrison,RNO,41,26.9,18.7,5.7,13.1,.436,2.8,6.5,.425,4.5,5.3,.839,0.6,3.8,4.4,1.6,1.0,0.2,1.4,2.6,2018
18,Tony Mitchell,SXF,44,29.4,18.6,6.9,16.3,.421,2.6,8.3,.315,2.3,3.1,.730,1.1,4.7,5.8,3.9,1.7,0.9,2.7,2.6,2018
19,Xavier Silas,NAS,43,32.7,18.4,6.0,13.6,.437,3.6,9.4,.380,3.0,3.3,.882,0.7,3.4,4.1,1.9,1.2,0.1,2.0,3.0,2018
20,DeQuan Jones,FWN,49,30.6,18.4,6.6,12.8,.511,1.7,3.8,.433,3.7,4.4,.833,0.7,4.1,4.7,1.5,1.3,0.5,2.5,1.9,2018
21,Naz Long,SLC,40,35.1,18.0,6.0,14.1,.424,3.4,9.0,.377,2.6,3.0,.860,0.4,5.7,6.1,4.6,1.2,0.1,3.1,2.4,2018
22,Danuel House,NAS,35,32.2,17.9,5.9,12.6,.468,2.8,7.1,.391,3.4,4.1,.821,0.9,4.7,5.6,2.7,1.1,0.5,2.3,2.0,2018
23,JaKarr Sampson,RNO,35,28.7,17.9,7.2,14.1,.511,0.4,1.3,.295,3.1,4.0,.770,1.1,6.0,7.1,0.9,1.1,0.9,1.6,2.5,2018
24,Erik McCree,SLC,35,32.3,17.9,6.3,14.7,.428,2.0,5.3,.384,3.2,4.4,.734,1.2,4.0,5.2,1.9,0.9,0.6,2.5,2.1,2018
25,Monte Morris,RGV,37,34.7,17.8,6.8,14.3,.472,1.6,4.8,.331,2.7,3.2,.849,1.2,3.3,4.5,6.5,1.8,0.1,1.9,1.7,2018
26,Amile Jefferson,IWA,47,34.9,17.8,7.1,11.4,.623,0.0,0.2,.111,3.5,4.8,.729,3.6,9.2,12.8,2.5,1.1,0.7,2.3,2.0,2018
27,Jack Cooley,RNO,39,27.5,17.7,7.0,12.5,.564,0.0,0.1,.250,3.6,5.1,.714,5.0,4.7,9.7,1.2,1.1,0.7,1.7,3.5,2018
28,Alec Peters,NAS,35,34.0,17.6,6.1,13.1,.467,3.7,9.0,.411,1.6,1.9,.851,1.7,5.5,7.1,2.0,0.6,0.3,1.2,2.9,2018
29,Marquis Teague,MHU,47,32.5,17.6,6.7,14.8,.455,1.4,3.2,.427,2.7,3.5,.782,0.3,3.0,3.4,6.1,0.9,0.2,2.2,2.7,2018
