#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,year
6,Isaac Fotu,RUL,.702,.678,193.9,9.3,17.1,13.2,8.9,10.0,1.3,1.7,22.1,-1.7,1.6,132.0,113.8,18.1,339.8,22.9,2018
7,Devin Booker,BAY,.683,.644,176.1,11.8,19.6,16.0,15.7,15.2,1.6,2.1,23.5,-1.4,1.7,127.2,104.3,22.8,475.5,22.7,2018
8,Dwayne Evans,LUD,.621,.565,163.8,11.1,23.9,17.2,10.3,13.5,2.7,1.3,24.8,-3.4,1.5,121.6,102.5,19.0,299.4,22.7,2018
9,Luke Sikma,BER,.638,.611,169.3,11.4,23.9,18.0,27.6,18.5,3.2,1.4,21.3,2.5,1.5,124.7,101.7,23.1,646.8,22.5,2018
10,John Bryant,GIE,.578,.538,155.1,9.6,31.0,20.4,22.9,13.8,0.8,3.9,26.5,-0.1,1.3,115.2,109.2,6.1,569.3,22.3,2018
11,Geoff Groselle,EIS,.635,.638,118.4,13.7,18.4,16.1,11.7,14.2,1.7,3.7,22.2,-2.7,1.5,121.2,114.9,6.3,305.1,22.1,2018
12,Philip Scrubb,FRA,.647,.594,183.0,2.0,12.0,7.1,22.2,12.7,2.0,0.1,24.3,1.4,1.5,127.9,112.6,15.3,388.3,21.1,2018
13,Julian Gamble,TBB,.588,.589,128.2,10.2,21.0,15.7,14.3,13.5,1.9,6.6,22.7,-1.3,1.4,115.4,105.8,9.6,408.4,21.0,2018
14,Thomas Walkup,LUD,.633,.594,174.6,5.5,20.0,12.3,26.5,12.7,3.3,0.5,17.8,5.8,1.4,132.8,102.5,30.3,486.6,20.9,2018
15,Brion Rush,GOE,.629,.593,170.6,2.4,12.5,7.2,25.8,14.3,2.2,0.3,28.8,-0.1,1.4,116.7,119.6,-3.0,295.3,20.7,2018
16,Jordan Hulls,EIS,.708,.662,202.8,2.7,12.4,7.5,24.7,17.1,2.1,0.0,20.3,1.5,1.6,130.7,118.0,12.7,419.4,20.6,2018
17,Augustine Rubit,BRO,.650,.544,173.9,9.3,16.3,12.9,8.6,11.3,1.4,2.5,22.8,-2.1,1.7,127.1,109.8,17.2,305.9,20.5,2018
18,Andreas Seiferth,BAY,.652,.637,128.4,9.6,19.3,14.5,11.7,16.1,2.5,1.6,22.1,-3.3,1.5,118.1,110.0,8.1,267.6,19.9,2018
19,Danilo Barthel,BAY,.686,.650,175.1,8.1,22.4,15.8,13.3,14.1,1.3,2.4,19.7,-0.3,1.7,128.7,104.1,24.6,400.9,19.7,2018
20,Braydon Hobbs,BAY,.683,.663,181.7,2.5,14.4,8.9,25.6,15.1,3.4,1.0,17.5,5.5,1.5,130.7,102.4,28.4,312.6,19.7,2018
21,Joshiko Saibou,BER,.670,.620,182.6,5.5,12.5,9.1,11.4,11.2,3.0,1.1,20.6,-0.4,1.6,130.1,106.1,24.0,311.8,19.7,2018
22,Elgin Cook,LUD,.637,.583,171.4,7.2,15.1,10.9,7.1,13.3,2.3,1.7,23.8,-4.0,1.5,121.1,105.2,15.9,310.0,19.5,2018
23,Marius Grigonis,BER,.730,.663,187.7,3.7,11.2,7.6,16.9,13.0,2.5,0.5,18.1,2.0,1.8,140.3,107.4,32.9,425.3,19.5,2018
24,"Reggie Upshaw, Jr.",TUB,.571,.554,151.8,7.0,24.2,14.7,14.6,7.6,2.0,2.6,22.4,1.4,1.3,115.0,121.1,-6.0,394.9,19.1,2018
25,Robin Benzing,OLI,.555,.458,158.2,3.9,15.9,9.8,13.0,8.5,1.7,2.1,30.3,-0.9,1.3,113.0,108.1,5.0,270.5,19.0,2018
26,Julius Jenkins,SCJ,.637,.601,174.9,2.5,10.1,6.2,21.7,10.6,1.8,0.0,22.6,2.9,1.4,124.7,117.6,7.1,304.0,18.7,2018
27,Spencer Butterfield,BER,.657,.633,186.8,5.8,15.0,10.6,10.2,10.0,2.2,0.5,20.6,-0.4,1.4,127.3,108.3,19.0,365.1,18.6,2018
28,Josh Mayo,TBB,.655,.604,181.3,1.2,8.8,5.1,20.7,11.2,1.4,0.0,22.2,2.5,1.5,129.2,114.8,14.4,325.3,18.5,2018
29,Peyton Siva,BER,.592,.533,163.7,1.6,11.0,6.6,40.5,21.5,3.1,0.3,26.2,4.4,1.4,115.4,106.2,9.2,399.4,17.9,2018
30,Nihad Djedovic,BAY,.631,.571,165.9,5.2,14.1,10.0,11.8,10.7,1.4,0.5,22.9,-0.3,1.5,124.2,106.9,17.3,326.5,17.8,2018
31,Reggie Redding,BAY,.564,.530,152.0,5.4,15.4,10.7,23.9,12.2,2.8,2.2,20.1,4.9,1.3,119.6,102.0,17.7,383.3,17.8,2018
32,Jared Cunningham,BAY,.594,.522,160.7,2.6,8.3,5.7,16.1,12.0,2.9,0.9,26.0,0.0,1.4,117.0,105.9,11.0,291.3,17.5,2018
